has_title,has_input,has_button,has_image,has_submit,has_link,has_password,has_email_input,has_hidden_element,has_audio,has_video,number_of_inputs,number_of_buttons,number_of_images,number_of_option,number_of_list,number_of_th,number_of_tr,number_of_href,number_of_paragraph,number_of_script,length_of_title,has_h1,has_h2,has_h3,length_of_text,number_of_clickable_button,number_of_a,number_of_img,number_of_div,number_of_figure,has_footer,has_form,has_text_area,has_iframe,has_text_input,number_of_meta,has_nav,has_object,has_picture,number_of_sources,number_of_span,number_of_table,label
1,0,1,0,0,1,0,0,0,0,1,0,4,0,0,186,0,0,18,77,11,60,1,1,1,15613,0,243,59,738,0,1,0,1,0,0,45,0,0,0,0,146,0,0
1,1,1,0,0,1,0,0,0,0,1,3,5,0,18,177,0,0,20,55,50,16,1,1,1,9642,0,254,28,187,0,0,1,0,0,1,14,0,0,0,2,148,0,0
1,0,1,0,0,1,0,0,0,0,0,0,7,0,0,173,0,0,15,69,22,30,1,1,0,9605,6,316,1,289,68,1,0,0,1,0,15,0,0,0,0,289,0,0
1,1,1,0,1,1,0,0,0,0,0,2,5,0,0,31,0,0,10,10,5,32,1,1,1,3572,0,50,6,90,0,1,1,0,1,1,7,1,0,0,0,15,0,0
1,1,1,0,0,1,0,0,1,0,0,3,12,0,0,37,0,0,12,19,20,50,0,1,0,4045,4,218,24,131,0,1,1,0,0,0,17,1,0,1,2,45,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,19,0,0,3,6,13,47,0,1,0,1954,0,69,11,81,0,1,0,0,1,0,9,0,0,1,0,59,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,152,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,0,0,1,0,0,0,0,0,0,11,0,0,97,0,0,5,4,41,91,0,1,0,4634,0,200,60,194,0,1,0,0,0,0,20,1,0,1,18,192,0,0
