has_title,has_input,has_button,has_image,has_submit,has_link,has_password,has_email_input,has_hidden_element,has_audio,has_video,number_of_inputs,number_of_buttons,number_of_images,number_of_option,number_of_list,number_of_th,number_of_tr,number_of_href,number_of_paragraph,number_of_script,length_of_title,has_h1,has_h2,has_h3,length_of_text,number_of_clickable_button,number_of_a,number_of_img,number_of_div,number_of_figure,has_footer,has_form,has_text_area,has_iframe,has_text_input,number_of_meta,has_nav,has_object,has_picture,number_of_sources,number_of_span,number_of_table,label
1,1,0,0,1,0,0,0,1,0,0,10,0,0,0,0,0,1,0,1,8,6,0,0,0,242,0,18,2,13,0,0,1,0,0,0,4,0,0,0,0,10,1,0
1,1,1,0,0,1,1,0,1,0,0,6,1,0,0,43,0,0,25,0,16,39,0,1,0,892,0,46,2,32,0,0,1,0,0,1,18,0,0,0,0,2,0,0
1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,17,0,40,7,0,0,0,158,0,15,0,292,0,0,0,0,1,1,7,0,0,0,0,1,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,21,0,0,0,179,0,1,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
0,1,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,20,3,12,0,1,0,0,432,0,6,1,10,0,0,1,0,0,0,13,0,0,0,0,3,0,0
1,1,0,0,1,1,0,0,1,0,0,8,0,0,0,0,0,0,1,2,1,9,0,0,0,133,0,11,2,9,0,0,1,0,0,0,3,0,0,0,0,2,0,0
1,0,1,0,0,1,0,0,0,0,0,0,29,1,0,213,0,0,19,138,16,64,1,1,1,12575,1,236,23,271,0,0,0,0,0,0,16,1,0,0,0,109,0,0
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,91,0,69,9,0,0,0,81,0,0,2,2,0,0,0,0,0,0,19,0,0,0,0,1,0,0
1,1,1,0,0,1,0,0,1,0,0,5,18,0,0,89,0,0,148,0,14,5,1,1,1,4359,1,109,0,114,9,1,1,0,0,0,16,1,0,0,0,89,0,0
1,1,1,0,0,1,0,1,0,0,1,2,9,0,2,25,0,0,7,7,17,52,1,1,1,3027,6,21,11,108,0,1,0,0,0,0,20,0,0,0,2,19,0,0
1,1,1,0,0,1,1,0,1,0,0,7,34,0,0,144,0,0,76,6,6,27,1,1,1,10829,1,122,7,49,0,1,1,0,0,1,19,1,0,0,0,86,0,0
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,8,0,0,0,10,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0
1,1,1,0,0,1,0,0,1,0,0,4,2,0,70,307,0,0,5,2,4,9,1,1,0,5379,0,334,1,86,0,0,1,0,0,0,3,0,0,0,0,58,0,0
