has_title,has_input,has_button,has_image,has_submit,has_link,has_password,has_email_input,has_hidden_element,has_audio,has_video,number_of_inputs,number_of_buttons,number_of_images,number_of_option,number_of_list,number_of_th,number_of_tr,number_of_href,number_of_paragraph,number_of_script,length_of_title,has_h1,has_h2,has_h3,length_of_text,number_of_clickable_button,number_of_a,number_of_img,number_of_div,number_of_figure,has_footer,has_form,has_text_area,has_iframe,has_text_input,number_of_meta,has_nav,has_object,has_picture,number_of_sources,number_of_span,number_of_table,label
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,1,0,0,1,0,0,0,0,1,0,22,0,0,0,0,0,32,66,24,70,1,1,0,2725,0,64,21,390,0,0,0,0,1,0,26,0,0,0,1,9,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,26,0,0,4,1,17,37,1,1,1,2135,0,74,37,172,17,1,0,0,0,0,23,1,0,1,99,29,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,0,0,0,1,0,0,0,0,0,3,0,0,0,13,0,0,15,0,19,48,1,0,1,3182,0,89,18,118,0,1,0,0,1,0,19,0,0,0,0,110,0,0
1,1,1,0,1,1,0,0,1,0,1,6,26,0,0,352,0,0,10,2,16,28,1,1,1,8232,2,371,6,52,1,1,1,0,0,1,15,1,0,0,1,5,0,0
1,1,1,0,0,1,0,0,0,0,0,1,92,0,0,298,0,0,11,109,6,68,1,1,1,23020,1,270,25,504,0,1,1,0,0,0,11,1,0,1,41,469,0,0
1,1,1,0,1,1,1,0,1,0,0,20,1,0,0,6,0,6,17,0,21,75,0,0,0,2216,1,85,9,115,0,0,1,0,1,1,12,1,0,0,0,11,2,0
1,1,1,0,1,1,0,0,0,0,0,4,1,0,0,88,0,0,9,18,19,46,1,1,0,4130,0,87,25,60,0,1,1,0,1,1,10,1,0,0,0,5,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,1,0,1,1,0,0,0,0,0,2,1,0,0,83,0,0,8,21,7,88,1,1,1,5514,1,113,4,56,0,0,1,0,0,1,6,0,0,0,0,10,0,0
1,1,1,0,0,1,0,0,0,0,0,1,4,0,0,106,0,0,11,15,3,41,1,1,1,4814,0,128,3,108,0,0,1,0,0,0,14,1,0,0,0,40,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,56,0,1,0,431,0,3,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,0,0,1,0,0,0,0,0,0,2,0,26,39,0,0,37,20,8,25,0,1,1,4271,2,63,19,94,0,1,0,0,0,0,16,1,0,0,0,70,0,0
1,1,1,0,0,1,0,1,0,0,0,5,5,0,18,34,0,30,2,10,0,67,1,1,1,8688,2,71,5,238,0,0,1,0,0,1,15,0,0,1,0,74,1,1
1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,9,0,0,4,3,12,57,1,0,0,1185,0,13,2,31,0,0,1,0,0,1,15,0,0,0,0,2,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,29,0,0,6,6,7,17,1,1,1,4318,0,46,35,268,0,0,0,0,1,0,11,0,0,1,3,51,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
