iter	Passed	Remaining
0	195	194922
1	225	112381
2	248	82690
3	274	68397
4	292	58153
5	313	51954
6	335	47629
7	357	44306
8	379	41735
9	397	39374
10	418	37659
11	439	36159
12	461	35028
13	480	33835
14	501	32958
15	521	32059
16	542	31351
17	561	30647
18	583	30107
19	605	29654
20	626	29194
21	647	28767
22	667	28342
23	688	27983
24	710	27708
25	734	27502
26	758	27351
27	780	27100
28	803	26911
29	827	26750
30	850	26571
31	869	26317
32	891	26118
33	912	25936
34	933	25747
35	958	25658
36	982	25561
37	1001	25349
38	1024	25243
39	1045	25093
40	1067	24967
41	1088	24821
42	1107	24649
43	1126	24480
44	1147	24355
45	1165	24177
46	1186	24060
47	1207	23942
48	1228	23834
49	1249	23742
50	1272	23681
51	1297	23661
52	1321	23611
53	1345	23570
54	1371	23558
55	1396	23546
56	1420	23502
57	1447	23505
58	1469	23434
59	1495	23427
60	1518	23373
61	1544	23371
62	1570	23356
63	1595	23335
64	1621	23329
65	1647	23311
66	1672	23287
67	1696	23255
68	1720	23213
69	1742	23145
70	1765	23105
71	1790	23073
72	1816	23063
73	1840	23033
74	1863	22979
75	1886	22935
76	1902	22806
77	1915	22643
78	1927	22472
79	1940	22312
80	1953	22161
81	1965	22001
82	1977	21848
83	1987	21678
84	1998	21513
85	2008	21348
86	2021	21212
87	2034	21083
88	2046	20948
89	2056	20794
90	2068	20658
91	2082	20552
92	2094	20426
93	2104	20288
94	2117	20173
95	2130	20065
96	2141	19932
97	2151	19799
98	2163	19687
99	2174	19567
100	2183	19439
101	2194	19322
102	2205	19209
103	2216	19094
104	2226	18977
105	2238	18875
106	2248	18767
107	2259	18663
108	2269	18553
109	2279	18441
110	2288	18330
111	2299	18230
112	2308	18122
113	2318	18017
114	2328	17915
115	2337	17809
116	2347	17715
117	2357	17617
118	2367	17524
119	2377	17432
120	2386	17338
121	2397	17254
122	2407	17167
123	2417	17079
124	2427	16992
125	2437	16907
126	2447	16824
127	2457	16741
128	2468	16664
129	2477	16580
130	2487	16499
131	2497	16421
132	2507	16344
133	2517	16267
134	2526	16186
135	2536	16111
136	2545	16035
137	2554	15957
138	2564	15882
139	2573	15808
140	2582	15735
